12159 	2296 	105207 	2482 	19665 	5190 	2144 	23202 
16293 	3378 	141589 	3232 	24961 	7360 	2422 	32082 
19605 	3020 	170453 	3637 	27536 	8847 	2456 	54654 
31644 	6975 	262426 	4838 	36615 	11827 	2276 	93001 
51614 	5150 	427616 	6650 	50433 	16121 	2144 	172039 
102552 	5250 	583016 	8907 	66633 	22439 	2230 	276974 
110151 	11707 	707523 	10154 	71877 	29700 	2675 	245807 
136877 	14010 	745034 	11966 	79595 	40093 	2867 	262220 
1429 	1799 	6347 	1550 	12485 	3130 	1468 	-813 
1839 	1144 	7295 	1256 	10150 	2550 	1293 	2879 
1600 	1243 	6097 	1144 	10052 	2382 	1051 	1950 
1931 	2158 	6874 	1774 	11256 	3359 	1697 	3474 
